ARTG3611-01 |Digital 3D Inorganic Studio 1 ||STAFF |09/16/12|Open|TR 9:30 - 10:45 AM; MAIN Campus, Center for the Arts , Communications Classroom|3|08/20/12|12/07/12
ARTG3612-01 |Digital 3D Organic Studio 1 ||STAFF |07/16/12|Open|TR 11:00AM - 12:15 PM; MAIN Campus, Center for the Arts , Communications Classroom|3|08/20/12|12/07/12
ARTG4530-01 |Game Design & Documentation 2 ||Dortch, Howard B |09/16/12|Open|TR 11:00 - 0:15 AM; MAIN Campus, Center for the Arts , Intaglio Studio |3|08/20/12|12/07/12
ARTG4611-02 |Digital 3D Inorganic Studio 2 ||Lyons, Gregory A |05/16/12|Open|MW 10:00 - 11:15 AM; MAIN Campus, Center for the Arts , Communications Classroom|3|08/20/12|12/07/12
ARTG4680-01 |Senior Studio 1 ||Lyons, Gregory A |0/10|Closed|W 1:00 - 5:50 PM; MAIN Campus, Advanced Technology Ctr , Design Computer Lab |3|08/20/12|12/07/12
ARTG4681-01 |Senior Studio 2 ||Lyons, Gregory A |20/20|Open|0:00 - 0:00 AM; Campus, Blank , blank |3|08/20/12|12/07/12
ARTH1101-01 |Introduction to Art ||STAFF |10/20/12|Open|MW 10:00 - 11:15 AM; MAIN Campus, Center for the Arts , Art Education Classroom |3|08/20/12|12/07/12
ARTH1101-02 |Introduction to Art ||STAFF |04/20/12|Open|MW 12:00 - 1:15 PM; MAIN Campus, Center for the Arts , Art Education Classroom |3|08/20/12|12/07/12
ARTH1101-03 |Introduction to Art ||Perry, Paula Lynn |08/25/12|Open|TR 9:30 - 10:45 AM; MAIN Campus, Center for the Arts , Lithography Studio |3|08/20/12|12/07/12
ARTH1101-04 |Introduction to Art ||Perry, Paula Lynn |07/25/12|Open|TR 12:30 - 1:45 PM; MAIN Campus, Center for the Arts , Lithography Studio |3|08/20/12|12/07/12
ARTH1101-05 |Introduction to Art ||Perry, Paula Lynn |12/25/12|Open|TR 11:00AM - 12:15 PM; MAIN Campus, Center for the Arts , Lithography Studio |3|08/20/12|12/07/12
